Class_Name,precision,recall,f1-score,support
Apple__Black_Rot,0.976,0.9838709677419355,0.9799196787148594,124.0
Apple__Cedar_Rust,1.0,1.0,1.0,55.0
Apple__Healthy,0.9698795180722891,0.9787234042553191,0.9742813918305597,329.0
Apple__Scab,0.9833333333333333,0.9365079365079365,0.959349593495935,126.0
Bitter_Gourd__Downey_Mildew,0.8666666666666667,0.11403508771929824,0.20155038759689922,114.0
Bitter_Gourd__Fusarium_Wilt,0.5355191256830601,0.98,0.6925795053003534,100.0
Bitter_Gourd__Healthy,0.9411764705882353,0.8727272727272727,0.9056603773584906,110.0
Bitter_Gourd__Mosaic_Virus,0.8333333333333334,1.0,0.9090909090909091,120.0
Bottle_Gourd__Anthracnose,1.0,0.9916666666666667,0.99581589958159,120.0
Bottle_Gourd__Downey_Mildew,0.9927007299270073,1.0,0.9963369963369964,136.0
Bottle_Gourd__Healthy,1.0,1.0,1.0,103.0
Cauliflower__Black_Rot,1.0,1.0,1.0,112.0
Cauliflower__Downey_Mildew,1.0,1.0,1.0,102.0
Cauliflower__Healthy,1.0,1.0,1.0,105.0
Cherry_including_sour__Healthy,0.9940476190476191,0.9823529411764705,0.9881656804733728,170.0
Cherry_including_sour__Powdery_Mildew,1.0,0.9904761904761905,0.9952153110047847,210.0
Corn_(maize)__Cercospora_Leaf_Spot_Gray_Leaf_Spot,0.7545454545454545,0.8137254901960784,0.7830188679245284,102.0
Corn_(maize)__Common_Rust,0.9957983193277311,0.9957983193277311,0.9957983193277311,238.0
Corn_(maize)__Healthy,0.9957081545064378,1.0,0.9978494623655914,232.0
Corn_(maize)__Northern_Leaf_Blight,0.9042553191489362,0.8629441624365483,0.8831168831168831,197.0
Cucumber__Anthracnose,0.9896907216494846,0.897196261682243,0.9411764705882353,107.0
Cucumber__Downey_Mildew,0.9652173913043478,0.9910714285714286,0.9779735682819384,112.0
Cucumber__Healthy,0.9375,1.0,0.967741935483871,105.0
Eggplant__Begomovirus,1.0,0.8472222222222222,0.9172932330827067,144.0
Eggplant__Cercopora,0.8834355828220859,1.0,0.9381107491856677,144.0
Eggplant__Healthy,1.0,1.0,1.0,154.0
Eggplant__Verticillium_Wilt,0.8523489932885906,0.8698630136986302,0.8610169491525423,146.0
Fig__Healthy,0.9908256880733946,0.5567010309278351,0.7128712871287128,194.0
Fig__Infected,0.6917562724014337,0.9948453608247423,0.8160676532769556,194.0
Grape__Black_Rot,0.9625,0.9788135593220338,0.9705882352941176,236.0
Grape__Esca_(Black_Measles),0.981549815498155,0.9637681159420289,0.9725776965265083,276.0
Grape__Healthy,1.0,1.0,1.0,84.0
Grape__Leaf_Blight_(Isariopsis_Leaf_Spot),1.0,1.0,1.0,215.0
Olive__Aculus_Olearius,0.6867469879518072,0.9606741573033708,0.8009367681498829,178.0
Olive__Healthy,0.7445255474452555,0.9714285714285714,0.8429752066115702,210.0
Olive__Peacock_Spot,0.9874213836477987,0.5376712328767124,0.6962305986696231,292.0
Peach__Bacterial_Spot,0.9910714285714286,0.9673202614379085,0.9790518191841234,459.0
Peach__Healthy,0.8372093023255814,1.0,0.9113924050632911,72.0
Pepper_Bell__Bacterial_Spot,0.9781420765027322,0.8994974874371859,0.93717277486911,199.0
Pepper_Bell__Healthy,0.9301587301587302,0.9932203389830508,0.9606557377049181,295.0
Potato__Early_Blight,0.9704433497536946,0.985,0.9776674937965261,200.0
Potato__Healthy,0.725,0.9666666666666667,0.8285714285714286,30.0
Potato__Late_Blight,0.9844559585492227,0.95,0.9669211195928753,200.0
Strawberry__Healthy,1.0,1.0,1.0,91.0
Strawberry__Leaf_Scorch,0.9954545454545455,0.9909502262443439,0.9931972789115646,221.0
Tomato__Bacterial_Spot,0.941031941031941,0.9011764705882352,0.9206730769230769,425.0
Tomato__Early_Blight,0.8238636363636364,0.725,0.7712765957446809,200.0
Tomato__Healthy,0.9420731707317073,0.9716981132075472,0.9566563467492261,318.0
Tomato__Late_Blight,0.9397905759162304,0.9422572178477691,0.9410222804718218,381.0
Tomato__Leaf_Mold,0.8348623853211009,0.9578947368421052,0.8921568627450981,190.0
Tomato__Mosaic_Virus,0.7551020408163265,1.0,0.8604651162790697,74.0
Tomato__Septoria_Leaf_Spot,0.8641618497109826,0.844632768361582,0.8542857142857143,354.0
Tomato__Spider_Mites,0.8567493112947658,0.9283582089552239,0.8911174785100286,335.0
Tomato__Spotted_Wilt,1.0,1.0,1.0,130.0
Tomato__Target_Spot,0.8202247191011236,0.7821428571428571,0.8007312614259597,280.0
Tomato__Yellow_Leaf_Curl_Virus,0.9980694980694981,0.965452847805789,0.9814902705268154,1071.0
Walnut__Anthracnose_Leaf,0.828125,0.9814814814814815,0.8983050847457628,162.0
Walnut__Blotch_Leaf,0.9486404833836858,0.9289940828402367,0.9387144992526159,338.0
Walnut__Gall_Mite_Leaf,0.8584070796460177,0.9897959183673469,0.919431279620853,98.0
Walnut__Healthy,0.987012987012987,0.8539325842696629,0.9156626506024096,178.0
Walnut__Shot_Hole,0.9953488372093023,0.9344978165938864,0.963963963963964,229.0
accuracy,0.9243415671519712,0.9243415671519712,0.9243415671519712,0.9243415671519712
macro avg,0.9216701858227491,0.9267549750672811,0.9136703631884058,12226.0
weighted avg,0.9336953791542418,0.9243415671519712,0.9212781924553252,12226.0
